ID,Property,Lat,Long,Review Score,Street,Town,Country,Expenditure ($)
1,Barefoot Garden Cafe,6.8664871,79.86296225,1569,704 Galle Rd, Colombo, Sri Lanka,172
2,Beach Wadiya,6.8750433,79.8603504,467,2 Station Ave, Colombo, Sri Lanka,86
3,Cafe Francais,6.91649815,79.8592931,318,Park Street, Colombo, Sri Lanka,89
4,Cafe Shaze,6.9110661,79.8690201,336,56 Horton Pl, Colombo, Sri Lanka,54
5,Capital Bar & Grill,6.9204003,79.8475418,756,1 Galle Face, Colombo, Sri Lanka,55
6,Chutneys At Cinnamon Grand Colombo,6.86325695,79.86367565,1950,77 Galle Road, Colombo, Sri Lanka,149
7,Cricket Club Cafe,6.9021725,79.9039441,1042,12 Flower Road, Colombo, Sri Lanka,65
8,Curry Leaf,6.9125691,79.8575401,797,2 Sir Chittampalam A Gardiner Mawatha, Colombo, Sri Lanka,99
9,Dolce Italia,6.8857259,79.86401725,313,5 Skelton Road, Colombo, Sri Lanka,67
10,Flamingo House,6.91171299,79.86502172,326,58A Horton Place, Colombo, Sri Lanka,67
11,FLOW,6.9173848,79.86377925,1245,200 Union Place, Colombo, Sri Lanka,62
12,Green Cabin Kollupitiya,6.8664871,79.86296225,1569,704 Galle Rd, Colombo, Sri Lanka,131
13,King of the Mambo,6.92085685,79.8459778,2380,Galle Face Hotel, Colombo, Sri Lanka,113
14,Lagoon,6.93202745,79.84678265,2140,117 Sir Chittampalam A Gardiner Mawatha, Colombo, Sri Lanka,174
15,Menya Hanabi Sri Lanka,6.944549,79.918653,382,No. 18 19 Level 03, Colombo, Sri Lanka,86
16,Ministry of Crab,6.86257495,79.8645288,4461,Old Dutch Hospital, Colombo, Sri Lanka,101
17,Nihonbashi,6.9200247,79.84773935,366,Galle Face Terrace, Colombo, Sri Lanka,95
18,Noodles Restaurant,6.88439,79.8578694,922,Galle Road A2, Colombo, Sri Lanka,61
19,Nuga Gama,6.86325695,79.86367565,1950,77 Galle Road, Colombo, Sri Lanka,119
20,Palmyrah Restaurant,6.91275875,79.84917275,1569,704 Galle Rd, Colombo, Sri Lanka,132
21,Paradise Road The Gallery Cafe,6.8984704,79.8550831,2392,2 Alfred House Road, Colombo, Sri Lanka,105
22,Park Street Mews Restaurant,6.91542239,79.85996163,349,50/1 Park Street, Colombo, Sri Lanka,80
23,Royal Thai - Cinnamon Lakeside,6.93202745,79.84678265,2140,117 Sir Chittampalam A Gardiner Mawatha, Colombo, Sri Lanka,123
24,Sea Fish Restaurant,6.9125691,79.8575401,797,2 Sir Chittampalam A Gardiner Mawatha, Colombo, Sri Lanka,56
25,Shanmugas,6.8648023,79.8598823,448,06 53/3 Ramakrishna Road Colombo, Colombo, Sri Lanka,66
26,The Barnesbury,6.9125273,79.8753542,302,91 Barnes Place, Colombo, Sri Lanka,94
27,The Bavarian German Restaurant and Pub,6.9199539,79.8481341,756,1 Galle Face, Colombo, Sri Lanka,62
28,The Cafe on the 5th,6.90530835,79.85673,303,5th Lane, Colombo, Sri Lanka,94
29,The London Grill,6.86325695,79.86367565,1950,77 Galle Road, Colombo, Sri Lanka,105
30,The Mango Tree,6.9066832,79.8527654,3096,No 10 Deal Place A, Colombo, Sri Lanka,125
31,The Manhattan Fish Market Sri Lanka,6.9070929,79.8542713,509,No. 31 Deal Place, Colombo, Sri Lanka,78
32,The Sizzle,6.9042295,79.8526849,610,32 Walukarama Road, Colombo, Sri Lanka,97
33,Tintagel Colombo - Paradise Road,6.91395805,79.8745414,304,65 Rosmead Place, Colombo, Sri Lanka,80
34,Upali's,6.9384708,79.8819341,1247,65 C W W Kannangara Mawatha, Colombo, Sri Lanka,110
35,Waters Edge,6.91311935,79.8842192,422,316 Ethul Kotte Road, Colombo, Sri Lanka,76
